대략	about	bab.la		prp.	
대하여	about	bab.la		prp.	
~보다 위에	above	bab.la		prp.	
위	above	bab.la		adv.	; also: up side, top side
행동하다	to act	bab.la		vb	acted|acted; also: to behave, to conduct
행동	action	bab.la		noun	; also: conduct, behavior, demeanor
실행	action	bab.la		noun	; also: commitment
실제로	actually	bab.la		adv.	; also: literally, really
추가하다	to add	bab.la		vb	added|added; also: to append
더하다	to add	bab.la		vb	added|added
부가	addition	bab.la		noun	; also: supplement, affixation
형용사의	adjective	bab.la		adj.	gram.
형용사	adjective	bab.la		noun	gram.
소심한	afraid	bab.la		adj.	; also: timid, pusillanimous, meticulous, faint-hearted
두려운	afraid	bab.la		adj.	
후	after	bab.la		prp.	
다시	again	bab.la		adv.	; also: afresh
시대	age	bab.la		noun	; also: era, epoch, period, time
나이	age	bab.la		noun	
전	ago	bab.la		adv.	
의견이 일치하다	to agree	bab.la		vb	agreed|agreed; also: to coincide, to concur
순응하다	to agree	bab.la		vb	agreed|agreed; also: to adjust, to conform, to comply
동의하다	to agree	bab.la		vb	agreed|agreed; also: to grant, to concur, to accede, to consent
미리	ahead	bab.la		adv.	
전부	all	bab.la		adv.	; also: total
허용하다	to allow	bab.la		vb	allowed|allowed; also: to concede, to vouchsafe, to enable, to permit
허락하다	to allow	bab.la		vb	allowed|allowed; also: to admit, to permit, to let
거의	almost	bab.la		adv.	; also: at most, approximately, seldom, nearly
혼자	alone	bab.la		adj.	
이미	already	bab.la		adv.	
역시	also	bab.la		adv.	; also: too
그럴지라도	although	bab.la		conj.	
항상	always	bab.la		adv.	
이다,있다	to be	bab.la		vb	was|been
미국	America	bab.la		pr.n.	geogr.
수치	amount	bab.la		noun	; also: shame, figure, number
금액	amount	bab.la		noun	
총계	amount	bab.la		noun	; also: sum
총액	amount	bab.la		noun	; also: sum
~와	and	bab.la		conj.	
그리고	and	bab.la		conj.	
각도	angle	bab.la		noun	; also: pitch
모서리	angle	bab.la		noun	
짐승	animal	bab.la		noun	; also: brute, beast
회답	answer	bab.la		noun	
대답	answer	bab.la		noun	; also: response
어렴풋이 나타나다	to appear	bab.la		vb	appeared|appeared; also: to loom, to emerge
~인 듯하다	to appear	bab.la		vb	appeared|appeared
~인 것 같이 보인다	to appear	bab.la		vb	appeared|appeared
나타나다	to appear	bab.la		vb	appeared|appeared; also: to emerge, to crop up, to loom
사과	apple	bab.la		noun	gastro.
이다,있다	to be	bab.la		vb	was|been
영역	area	bab.la		noun	; also: sphere, domain, realm
면적	area	bab.la		noun	; also: dimension
지역	area	bab.la		noun	; also: tract, region, quarter, terrain
범위	area	bab.la		noun	; also: horizon, compass, region, range
분야	area	bab.la		noun	; also: sphere, field, domain
영토	area	bab.la		noun	; also: territory, domain, region
병기	arms	bab.la		noun	
팔	arm	bab.la		noun	anat.
무장하다	to arm	bab.la		vb	armed|armed
육군	army	bab.la		noun	mil.
대충	around	bab.la		prp.	
도착하다	to arrive	bab.la		vb	arrived|arrived
예술	art	bab.la		noun	art
처럼	as	bab.la		conj.	
질문하다	to ask	bab.la		vb	asked|asked; also: to inquire, to query
묻다	to ask	bab.la		vb	asked|asked; also: to consult, to inter
아기	baby	bab.la		noun	; also: babe
뒤	back	bab.la		adv.	
등	back	bab.la		noun	anat.
지지하다	to back	bab.la		vb	backed|backed] {vb} [coll.; also: to espouse, to countenance, to endorse, to fuel
형편이 나쁜	bad	bab.la		adj.	; also: unfavorable
나쁜	bad	bab.la		adj.	; also: evil
공	ball	bab.la		noun	sports
은행	bank	bab.la		noun	fin.
기슭	bank	bab.la		noun	
물가	bank	bab.la		noun	
천한	base	bab.la		adj.	; also: plebeian, ornery, coarse, vulgar
비열한	base	bab.la		adj.	; also: mangy, ignoble, abject, mean
어간	base	bab.la		noun	; also: root
하부구조	base	bab.la		noun	; also: infrastructure, basis
기초를 세우다	to base	bab.la		vb	based|based; also: to establish
이다,있다	to be	bab.la		vb	was|been
곰	bear	bab.la		noun	zool.
산출하다	to bear	bab.la		vb	bore; bare|borne; born; also: to yield, to produce, to generate, to procreate
견디다	to bear	bab.la		vb	bore; bare|borne; born; also: to sustain, to tolerate, to endure, to stomach
운반하다	to bear	bab.la		vb	bore; bare|borne; born; also: to carry, to convey, to transport
(무게를) 지탱하다	to bear	bab.la		vb	bore; bare|borne; born
생기게 하다	to bear	bab.la		vb	bore; bare|borne; born; also: to produce, to procreate
지탱하다	to bear	bab.la		vb	bore; bare|borne; born; also: to sustain, to buoy, to support
마구 치다	to beat	bab.la		vb	beat|beaten; beat; also: to pound, to scotch, to thrash
때리다	to beat	bab.la		vb	beat|beaten; beat
아름다운	beautiful	bab.la		adj.	cloth.
장엄한	beautiful	bab.la		adj.	; also: grave, spectacular, sublime, splendid
되다	to become	bab.la		vb	became|become
되다	to become	bab.la		vb	became|become
침대	bed	bab.la		noun	; also: berth
이다,있다	to be	bab.la		vb	was|been
전	before	bab.la		prp.	
시작하다	to begin	bab.la		vb	began|begun; also: to resume, to initiate, to levy, to commence
시작하다	to begin	bab.la		vb	began|begun; also: to resume, to initiate, to levy, to commence
생물	being	bab.la		noun	
이다,있다	to be	bab.la		vb	was|been
믿다	to believe	bab.la		vb	believed|believed
소속하다	to belong	bab.la		vb	belonged|belonged
아래,밑	below	bab.la		prp.	
~의 아래에	below	bab.la		adj.	; also: beneath
옆	beside	bab.la		prp.	; also: next to
글쎄	well	bab.la		interj.	unverif.
건강한	well	bab.la		adj.	; also: hearty, sound, vigorous, strong
글쎄	well	bab.la		interj.	unverif.
건강한	well	bab.la		adj.	; also: hearty, sound, vigorous, strong
상당한	big	bab.la		adj.	; also: perceptible, considerable, substantial, remarkable
큰	big	bab.la		adj.	; also: huge, enormous
계산서	bill	bab.la		noun	comm.] [Brit.; also: check
청구서	bill	bab.la		noun	
계산서	bill	bab.la		noun	
지폐	bill	bab.la		noun	
새	bird	bab.la		noun	zool.
드릴용 날	bit	bab.la		noun	
물다	to bite	bab.la		vb	bit|bitten; also: to gnaw, to chew
검정색	black	bab.la		adj.	
덩어리	block	bab.la		noun	; also: mass, Lump
장애물	block	bab.la		noun	; also: barrier, obstacle, hindrance, barricade
방해하다	to block	bab.la		vb	blocked|blocked; also: to obstruct, to impede, to interfere, to prohibit
막다	to block	bab.la		vb	blocked|blocked; also: to occlude, to check, to prevent, to preclude
출혈	blood	bab.la		noun	anat.
불다	to blow	bab.la		vb	blew|blown
파랑	blue	bab.la		adj.	cloth.
판재	board	bab.la		noun	; also: lumber, log
배	boat	bab.la		noun	transp.
몸	body	bab.la		noun	anat.
시체	body	bab.la		noun	; also: corpse
골격	bone	bab.la		noun	anat.
골절	bone	bab.la		noun	anat.
뼈	bone	bab.la		noun	anat.
뼈나 상아 등으로 만든 물건	bone	bab.la		noun	
책	book	bab.la		noun	educ.
예약하다	to book	bab.la		vb	booked|booked; also: to engage, to reserve
지탱하다	to bear	bab.la		vb	bore; bare|borne; born; also: to sustain, to buoy, to support
산출하다	to bear	bab.la		vb	bore; bare|borne; born; also: to yield, to produce, to generate, to procreate
견디다	to bear	bab.la		vb	bore; bare|borne; born; also: to sustain, to tolerate, to endure, to stomach
운반하다	to bear	bab.la		vb	bore; bare|borne; born; also: to carry, to convey, to transport
(무게를) 지탱하다	to bear	bab.la		vb	bore; bare|borne; born
생기게 하다	to bear	bab.la		vb	bore; bare|borne; born; also: to produce, to procreate
둘 다	both	bab.la			
바닥	bottom	bab.la		noun	
상자	box	bab.la		noun	; also: caddy
주먹다짐하다	to box	bab.la		vb	boxed|boxed
어린 소년	boy	bab.la		noun	
나뭇가지	branch	bab.la		noun	
(짧은) 휴식	break	bab.la		noun	; also: rest, pause
틈	break	bab.la		noun	; also: crack, leisure, leak, hiatus
중단하다	to break	bab.la		vb	broke; brake|broken; broke; also: to cease, to pause, to abort, to refrain
부수다	to break	bab.la		vb	broke; brake|broken; broke; also: to shatter, to demolish
박살 내다	to break	bab.la		vb	broke; brake|broken; broke; also: to shatter, to crumble
깨다	to break	bab.la		vb	broke; brake|broken; broke
깨뜨리다	to break	bab.la		vb	broke; brake|broken; broke; also: to smash, to crack, to shatter, to batter
세세한	bright	bab.la		adj.	; also: tiny, thorough, graphic, detailed
선명한	bright	bab.la		adj.	; also: vivid, graphic
빛나는	bright	bab.la		adj.	; also: luminous, refulgent, brilliant, glossy
밝은	bright	bab.la		adj.	
가지고오다	to bring	bab.la		vb	brought|brought
부서진	broken	bab.la		adj.	
깨뜨리다	to break	bab.la		vb	broke; brake|broken; broke; also: to smash, to crack, to shatter, to batter
중단하다	to break	bab.la		vb	broke; brake|broken; broke; also: to cease, to pause, to abort, to refrain
부수다	to break	bab.la		vb	broke; brake|broken; broke; also: to shatter, to demolish
박살 내다	to break	bab.la		vb	broke; brake|broken; broke; also: to shatter, to crumble
깨다	to break	bab.la		vb	broke; brake|broken; broke
형	brother	bab.la		noun	
가지고오다	to bring	bab.la		vb	brought|brought
갈색	brown	bab.la		adj.	cloth.
만들어내다	to build	bab.la		vb	built|built; also: to create, to fabricate, to make
세우다	to build	bab.la		vb	built|built; also: to erect, to setup
건물	building	bab.la		noun	construct.
만들어내다	to build	bab.la		vb	built|built; also: to create, to fabricate, to make
세우다	to build	bab.la		vb	built|built; also: to erect, to setup
만들어내다	to build	bab.la		vb	built|built; also: to create, to fabricate, to make
세우다	to build	bab.la		vb	built|built; also: to erect, to setup
불에 타는	burning	bab.la		adj.	
화상	burn	bab.la		noun	med.
태우다	to burn	bab.la		vb	burnt; burned|burnt; burned; also: to kindle, to incinerate
타다	to burn	bab.la		vb	burnt; burned|burnt; burned; also: to ride, to get in
사업	business	bab.la		noun	bus.
업무	business	bab.la		noun	; also: affair, transaction
사다	to buy	bab.la		vb	bought|bought; also: to purchase, to procure
호소하다	to call	bab.la		vb	called|called; also: to plead, to appeal, to summon
부르다	to call	bab.la		vb	called|called
오시다	to come	bab.la		vb	came|come
오다	to come	bab.la		vb	came|come
….못하다	to cannot	bab.la		vb	
주요한	capital	bab.la		adj.	; also: major, principal, prime, paramount
수도	capital	bab.la		noun	geogr.
자동차	car	bab.la		noun	autom.; also: vehicle, automobile
돌보다	to care	bab.la		vb	cared|cared; also: to attend, to tend
주의 깊게	carefully	bab.la		adv.	
조심스럽게	carefully	bab.la		adv.	
수송하다	to carry	bab.la		vb	carried|carried; also: to transport, to ferry, to convey
나르다	to carry	bab.la		vb	carried|carried; also: to cart, to transport
운반하다	to carry	bab.la		vb	carried|carried; also: to convey, to bear, to transport
고양이	cat	bab.la		noun	zool.
포획하다	to catch	bab.la		vb	caught|caught; also: to capture, to seize
잡다	to catch	bab.la		vb	caught|caught; also: to hold, to grab, to grasp, to grip
소	cattle	bab.la		noun	zool.
가축	cattle	bab.la		noun	
포획하다	to catch	bab.la		vb	caught|caught; also: to capture, to seize
잡다	to catch	bab.la		vb	caught|caught; also: to hold, to grab, to grasp, to grip
원인	cause	bab.la		noun	
초래하다	to cause	bab.la		vb	caused|caused; also: to contract, to bring about, to trigger, to resultin
일으키다	to cause	bab.la		vb	caused|caused; also: to initiate, to trigger, to activate
원인이되다	to cause	bab.la		vb	caused|caused
야기시키다	to cause	bab.la		vb	caused|caused; also: to trigger, to resultin
세포	cell	bab.la		noun	
방	cell	bab.la		noun	; also: chamber, room
세포	cell	bab.la		noun	biochem.
독방	cell	bab.la		noun	
작은	cell	bab.la		adj.	; also: humble, diminutive, tiny, small
가운데	center	bab.la		adj.	; also: middle
중심	center	bab.la		noun	; also: hub
핵심	center	bab.la		noun	; also: core, pith, nexus, gist
푼돈	cent	bab.la		noun	
확실한	certain	bab.la		adj.	; also: definitive
확신하는	certain	bab.la		adj.	; also: positive, cocksure, convinced
일정한	certain	bab.la		adj.	; also: constant
가능성	chance	bab.la		noun	; also: probability, opportunity, potentiality
전망	chance	bab.la		noun	; also: prospect, perspective, landscape, vista
기회	chance	bab.la		noun	; also: opportunity, occasion
거스름 돈	change	bab.la		noun	comm.
변화	change	bab.la		noun	; also: mutation, transition, transformation, transit
변경하다	to change	bab.la		vb	changed|changed; also: to revise, to alter, to modify
바꾸다	to change	bab.la		vb	changed|changed; also: to shift, to alter, to transform, to permute
변환하다	to change	bab.la		vb	changed|changed; also: to alter, to modify
변화시키다	to change	bab.la		vb	changed|changed; also: to alter, to vary
변형시키다	to change	bab.la		vb	changed|changed; also: to transform, to convert
수정하다	to change	bab.la		vb	changed|changed; also: to reform, to modify, to amend, to revise
도표	chart	bab.la		noun	; also: graph
그래프	chart	bab.la		noun	
(지도 등을) 작성하다	to chart	bab.la		vb	charted|charted
계산서	check	bab.la		noun	comm.] [Amer.; also: bill
갑작스러운 방해	check	bab.la		noun	
조사하다	to check	bab.la		vb	checked|checked; also: to investigate, to inquire, to research, to scan
막다	to check	bab.la		vb	checked|checked; also: to block, to occlude, to prevent, to preclude
최고의	chief	bab.la		adj.	; also: sublime, utmost, prime, paramount
주요한	chief	bab.la		adj.	
주요한	chief	bab.la		adj.	; also: major, capital, principal, prime
주인	chief	bab.la		noun	; also: lord, commander
아이	child	bab.la		noun	; also: kid
자녀	children	bab.la		noun	
아이	child	bab.la		noun	; also: kid
~을 채택하다	to choose	bab.la		vb	chose|chosen; also: to adopt, to take up
선택하다	to choose	bab.la		vb	chose|chosen; also: to opt
고르다	to choose	bab.la		vb	chose|chosen; also: to opt, to select
교회	church	bab.la		noun	; also: sanctuary, shrine
원	circle	bab.la		noun	
에워싸다	to circle	bab.la		vb	circled|circled; also: to encircle, to enclose, to surround, to encompass
묶다	to circle	bab.la		vb	circled|circled; also: to bind, to lash, to loop, to tie
도시	city	bab.la		noun	geogr.
수업	class	bab.la		noun	educ.
분류하다	to class	bab.la		vb	classed|classed; also: to distinguish, to relegate, to classify, to assort
깨끗한	clean	bab.la		adj.	; also: unstained, clear, trig
살균의	clean	bab.la		adj.	; also: hygienic, antiseptic, bactericidal
위생적인	clean	bab.la		adj.	; also: antiseptic, hygienic
깨끗이 하다	to clean	bab.la		vb	cleaned|cleaned; also: to cleanse, to purify, to sanctify
청소하다	to clean	bab.la		vb	cleaned|cleaned; also: to clear
깨끗하게하다	to clean	bab.la		vb	cleaned|cleaned
명백한	clear	bab.la		adj.	; also: evident, apparent, obvious, patent
순수한	clear	bab.la		adj.	; also: pure, unalloyed, unmixed, uncontaminated
명쾌한	clear	bab.la		adj.	; also: pithy, perspicuous, lucid, transparent
깨끗한	clear	bab.la		adj.	; also: clean, unstained, trig
분명한	clear	bab.la		adj.	; also: evident, manifest, plain, decided
